Width,Height,Roi.X1,Roi.Y1,Roi.X2,Roi.Y2,ClassId,Path
52,49,6,5,47,44,25,Train/25/00025_00010_00013.png
125,108,11,9,115,99,31,Train/31/00031_00009_00029.png
38,38,5,5,33,33,18,Train/18/00018_00037_00003.png
46,42,6,5,40,36,25,Train/25/00025_00005_00014.png
51,49,6,5,46,44,18,Train/18/00018_00036_00009.png
56,45,6,5,50,40,13,Train/13/00013_00032_00014.png
100,94,9,8,92,86,25,Train/25/00025_00028_00023.png
122,111,11,9,112,102,18,Train/18/00018_00010_00025.png
32,30,6,6,27,25,26,Train/26/00026_00009_00004.png
57,51,6,6,51,45,11,Train/11/00011_00006_00024.png
44,39,6,5,39,34,24,Train/24/00024_00007_00006.png
42,39,6,5,37,34,25,Train/25/00025_00026_00010.png
58,52,6,6,53,47,13,Train/13/00013_00047_00000.png
50,45,5,5,45,40,13,Train/13/00013_00019_00002.png
38,38,6,6,33,33,31,Train/31/00031_00011_00009.png
34,31,5,5,29,26,28,Train/28/00028_00004_00006.png
32,30,6,6,27,25,13,Train/13/00013_00040_00000.png
93,85,9,7,85,78,11,Train/11/00011_00015_00029.png
94,109,9,10,86,100,18,Train/18/00018_00028_00029.png
143,133,12,11,131,122,13,Train/13/00013_00054_00025.png
30,27,6,5,25,22,13,Train/13/00013_00031_00002.png
68,61,6,6,62,56,13,Train/13/00013_00013_00021.png
42,49,5,5,37,44,13,Train/13/00013_00011_00013.png
51,50,6,6,46,45,26,Train/26/00026_00000_00017.png
51,48,5,6,46,43,25,Train/25/00025_00043_00015.png
70,61,6,6,64,56,23,Train/23/00023_00009_00023.png
49,44,6,6,44,39,21,Train/21/00021_00004_00021.png
51,45,5,5,45,40,26,Train/26/00026_00016_00022.png
55,49,5,6,49,43,18,Train/18/00018_00008_00004.png
42,39,6,5,37,34,25,Train/25/00025_00033_00010.png
65,60,6,6,60,55,18,Train/18/00018_00031_00029.png
50,45,5,5,44,40,25,Train/25/00025_00036_00014.png
47,42,5,5,41,37,13,Train/13/00013_00049_00016.png
60,57,6,5,55,52,11,Train/11/00011_00032_00017.png
40,37,5,5,35,32,25,Train/25/00025_00036_00002.png
87,72,7,7,80,66,31,Train/31/00031_00004_00027.png
72,62,7,5,66,57,13,Train/13/00013_00041_00021.png
83,71,8,6,76,65,11,Train/11/00011_00009_00024.png
43,38,6,5,38,33,18,Train/18/00018_00031_00008.png
74,67,7,6,68,61,11,Train/11/00011_00005_00019.png
38,36,5,6,33,31,13,Train/13/00013_00020_00002.png
